Gender,Age,Figure,Job,Heavy:Light,Passive:Active,Cold:Warm,Dirty:Clean,Traditional:Modern,Plain: Gaudy,Tense:Relaxed,FatL:SlimL,Masculine:Feminine,HMatch:EMatch,Dislike:Like,Group
女,26~30,均匀的,教师,-2,-3,-1,-2,1,1,-2,1,-2,-2,-2,36
女,26~30,均匀的,医师,-2,-3,-2,-2,-2,-2,-2,1,-2,-2,-2,36
女,26~30,偏胖的,医学,2,-2,1,2,2,2,2,1,2,3,2,36
女,26~30,均匀的,服装,-3,-3,-1,-3,-3,-3,-3,1,-3,-3,-3,36
女,26~30,均匀的,服装设计,1,-3,1,-1,1,1,-1,-1,-2,-3,-3,36
女,26~30,均匀的,纺织研究助理,-1,-2,1,-1,1,-1,-1,2,-1,1,-2,36
女,31~40,偏瘦的,(空),-3,-2,-3,-3,-3,-3,-3,3,-3,3,-3,36
女,31~40,均匀的,(空),-2,-3,2,-3,-3,-3,-1,3,1,3,3,36
女,31~40,均匀的,教师,1,-3,1,2,-2,1,-1,1,-1,-2,-2,36
女,31~40,偏胖的,教育,1,-2,-1,-2,-2,-2,-1,1,-2,-2,-3,36
男,18~25,均匀的,master of school of architecture,-1,-2,-1,-2,3,-3,1,2,-1,3,2,36
男,18~25,偏瘦的,广告,-1,1,1,3,-1,-2,-2,1,-3,3,2,36
男,18~25,均匀的,学生,1,-1,1,1,1,1,1,1,1,1,1,36
男,18~25,均匀的,学生,-1,-2,1,-1,1,-1,1,1,-1,1,1,36
男,18~25,均匀的,学生,-2,-2,-2,-1,-2,-2,-2,3,2,3,3,36
男,18~25,均匀的,学生,-3,-3,-2,-1,-3,-3,-1,-2,-2,-3,-2,36
男,18岁以下,偏瘦的,本科在校学生,-2,-3,-1,-2,-1,-1,-2,1,-2,1,1,36
男,26~30,偏胖的,学生,3,-1,3,1,3,3,3,1,-1,3,3,36
男,26~30,均匀的,颜色科学,-1,-1,-1,-2,-2,-1,1,1,-1,1,-1,36
男,26~30,偏胖的,(空),-1,-1,-1,1,1,-1,-1,1,-1,-3,-3,36
男,26~30,偏瘦的,design master,-2,-1,-1,1,1,-2,-1,1,-1,2,1,36
男,31~40,偏胖的,工业设计,-3,-3,-2,1,-3,-3,-1,3,-3,3,3,36
男,31~40,偏胖的,教師,-2,-2,-1,-2,-2,-2,-1,-2,-1,-1,-2,36
男,31~40,偏胖的,(空),-2,-3,-2,-2,-2,-2,-2,-1,-2,2,-2,36
男,31~40,偏胖的,design phd,-1,-2,-1,-1,-1,-1,-1,1,-2,1,-2,36
男,31~40,偏胖的,(空),-2,2,2,-2,-3,2,1,-1,-3,-3,-3,36
男,41~50,均匀的,教师,-2,-2,-2,-1,-3,-3,-2,-1,-2,-2,-1,36
女,18~25,偏胖的,行銷企劃,2,-2,1,1,1,-3,3,-1,1,2,2,37
女,18~25,偏胖的,設計師,-3,-3,-3,-3,-2,-2,-2,-1,-3,-2,-3,37
女,18~25,偏瘦的,学生,1,-2,-1,-1,1,1,-1,1,-2,-1,1,37
女,18~25,均匀的,财务会计,1,-3,1,3,2,1,2,1,1,-2,1,37
女,18~25,均匀的,学生,-2,-3,1,-1,-2,-2,1,-2,1,-1,1,37
女,26~30,均匀的,設計,-1,-3,-1,-1,-1,-1,-1,-1,-1,-2,-2,37
女,26~30,偏胖的,服装,2,-2,1,3,2,1,2,3,2,3,2,37
女,26~30,均匀的,教师,-2,-1,1,-1,2,1,-2,1,-2,-2,-3,37
女,26~30,均匀的,医师,-3,-2,-2,-3,-2,-2,-2,1,-2,-1,-2,37
女,26~30,偏胖的,医学,1,-1,2,-1,1,1,1,1,-1,1,1,37
女,26~30,均匀的,服装,-1,-2,1,-3,-2,-3,1,-1,-3,-2,-1,37
女,26~30,均匀的,服装设计,2,-3,-1,-2,-1,-2,2,-3,-1,-3,-3,37
女,26~30,均匀的,纺织研究助理,-2,-1,-2,-3,-2,-2,-2,-2,-3,-2,-3,37
女,31~40,偏瘦的,(空),-2,-1,-2,-2,-2,-3,-1,1,-2,2,-3,37
女,31~40,均匀的,(空),3,-3,-2,-2,-1,-2,1,2,1,3,3,37
女,31~40,均匀的,教师,-2,-2,1,1,-1,-2,1,1,-1,-1,-2,37
女,31~40,偏胖的,教育,2,-3,1,-2,1,-3,1,1,1,-3,-2,37
男,18~25,均匀的,master of school of architecture,-1,-2,-1,1,3,-3,1,3,-1,3,2,37
男,18~25,偏瘦的,广告,-2,1,-1,3,-2,-2,-3,3,-1,3,1,37
男,18~25,均匀的,学生,1,-1,1,1,1,1,1,1,1,1,1,37
男,18~25,均匀的,学生,-1,-3,1,-1,1,1,1,1,-1,1,1,37
男,18~25,均匀的,学生,-1,-1,-1,-2,-1,-2,1,2,1,2,2,37
男,18~25,均匀的,学生,-2,-3,-1,-2,-1,-2,-2,-1,-1,-2,-1,37
男,18岁以下,偏瘦的,本科在校学生,-1,-2,-1,-1,-1,-1,-1,1,-2,1,1,37
男,26~30,偏胖的,学生,1,-1,2,3,3,3,2,-1,2,2,2,37
男,26~30,均匀的,颜色科学,1,-1,-1,-2,-3,-3,-1,1,-1,1,-1,37
男,26~30,偏胖的,(空),-1,-2,-1,1,1,-1,-1,1,-1,-2,-3,37
男,26~30,偏瘦的,design master,2,-1,1,1,-1,-2,3,-1,-1,3,2,37
男,31~40,偏胖的,工业设计,1,2,1,-1,-1,-2,1,-1,-2,3,3,37
男,31~40,偏胖的,教師,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,37
男,31~40,偏胖的,(空),1,-3,1,-1,-2,-2,3,2,-1,2,2,37
男,31~40,偏胖的,design phd,-1,-3,-1,-1,-1,-1,-1,-1,-1,1,-1,37
男,31~40,偏胖的,(空),1,-3,2,-1,2,2,2,2,-1,2,-1,37
男,41~50,均匀的,教师,-2,-1,-1,-2,-2,-3,-1,1,-2,2,-2,37
女,18~25,偏胖的,行銷企劃,-3,-3,-3,-3,-2,-3,-3,2,1,2,3,38
女,18~25,偏胖的,設計師,-2,-2,-2,2,-1,-1,-2,2,-1,2,2,38
女,18~25,偏瘦的,学生,2,-3,1,1,2,-1,2,1,3,1,2,38
女,18~25,均匀的,财务会计,1,-3,3,3,2,1,3,2,3,1,3,38
女,18~25,均匀的,学生,-2,-3,1,-1,1,1,-2,-2,-1,1,-1,38
女,26~30,均匀的,設計,-3,-3,-3,2,3,-3,-3,3,-1,3,3,38
女,26~30,偏胖的,服装,-2,-3,-1,1,1,1,1,2,-2,2,-2,38
女,26~30,均匀的,教师,-1,-2,1,3,1,1,1,-1,2,1,2,38
女,26~30,均匀的,医师,-1,-3,-1,-1,-1,-1,-1,1,-1,-2,-1,38
女,26~30,偏胖的,医学,1,-1,2,-1,1,1,1,-1,2,1,1,38
女,26~30,均匀的,服装,-2,-3,2,-2,-2,-2,-2,1,-3,-2,-2,38
女,26~30,均匀的,服装设计,-3,-3,-2,3,-3,-2,-2,3,3,-1,-3,38
女,26~30,均匀的,纺织研究助理,-1,-3,-1,3,2,1,-1,1,-1,2,1,38
女,31~40,偏瘦的,(空),-3,-2,-3,2,-3,-3,-3,3,-3,3,-3,38
女,31~40,均匀的,(空),-3,-3,-2,-2,1,-2,-1,3,-1,3,3,38
女,31~40,均匀的,教师,-1,-3,1,2,-1,1,-1,1,-1,-1,1,38
女,31~40,偏胖的,教育,-3,3,-2,-3,-2,-3,-2,2,-3,1,-3,38
男,18~25,均匀的,master of school of architecture,-2,-3,-2,1,3,-2,-2,3,-2,3,1,38
男,18~25,偏瘦的,广告,-2,1,-3,3,-2,-2,-1,3,-1,3,2,38
男,18~25,均匀的,学生,1,1,1,1,1,1,1,1,1,1,1,38
男,18~25,均匀的,学生,-1,-2,1,1,1,1,1,-1,-1,1,1,38
男,18~25,均匀的,学生,-1,-2,1,-2,2,-1,1,2,2,2,3,38
男,18~25,均匀的,学生,-2,-3,-2,-1,1,1,1,-2,-2,-2,-2,38
男,18岁以下,偏瘦的,本科在校学生,1,-3,1,-1,-1,-1,1,1,2,-2,2,38
男,26~30,偏胖的,学生,-2,2,1,1,2,-2,1,2,-1,2,-1,38
男,26~30,均匀的,颜色科学,-1,-1,-1,-3,-3,-3,-1,3,-3,3,2,38
男,26~30,偏胖的,(空),1,-3,1,1,1,1,1,1,1,-2,-1,38
男,26~30,偏瘦的,design master,-2,-2,2,-1,-2,-2,2,1,-2,2,2,38
男,31~40,偏胖的,工业设计,-3,-3,-3,3,-3,-3,-2,3,-3,3,3,38
男,31~40,偏胖的,教師,-1,-2,-2,-1,-2,-2,1,-1,-1,-2,-2,38
男,31~40,偏胖的,(空),-3,-3,-3,-2,-2,-2,3,-1,1,3,3,38
男,31~40,偏胖的,design phd,-1,-2,-1,1,1,-1,-1,-1,-1,1,-1,38
男,31~40,偏胖的,(空),-2,-3,-3,2,1,-2,2,2,-2,2,1,38
男,41~50,均匀的,教师,-1,-3,-1,1,-1,-1,1,-1,-3,2,3,38
女,18~25,偏胖的,行銷企劃,3,-3,-2,3,2,-3,3,-2,1,3,3,39
女,18~25,偏胖的,設計師,2,-1,-1,3,3,-3,3,2,2,3,3,39
女,18~25,偏瘦的,学生,1,-3,2,1,-1,2,1,-1,2,-2,-2,39
女,18~25,均匀的,财务会计,1,-3,2,3,2,2,1,2,3,2,1,39
女,18~25,均匀的,学生,-1,-3,-1,-1,-1,-1,-1,2,2,-1,-1,39
女,26~30,均匀的,設計,3,-3,-1,3,-3,-3,3,-1,1,3,3,39
女,26~30,偏胖的,服装,1,-1,1,3,3,1,1,1,1,1,1,39
女,26~30,均匀的,教师,-1,1,2,1,1,1,1,-1,1,-1,-1,39
女,26~30,均匀的,医师,1,-1,2,1,2,2,1,-1,2,-2,1,39
女,26~30,偏胖的,医学,1,1,-1,-1,1,1,1,1,2,-1,1,39
女,26~30,均匀的,服装,3,-2,-1,3,-2,-2,3,-2,1,-1,-1,39
女,26~30,均匀的,服装设计,-1,-3,1,3,-2,-1,3,1,3,2,-3,39
女,26~30,均匀的,纺织研究助理,2,-2,-1,2,-1,-2,1,-2,-1,3,1,39
女,31~40,偏瘦的,(空),1,-2,-1,3,-2,-3,1,1,-1,3,-1,39
女,31~40,均匀的,(空),3,-3,-3,2,-1,1,3,2,1,3,3,39
女,31~40,均匀的,教师,-1,-2,1,2,-1,-1,1,1,-2,-1,-1,39
女,31~40,偏胖的,教育,3,-2,-1,3,-1,-3,3,-1,1,2,3,39
男,18~25,均匀的,master of school of architecture,2,-3,-1,3,-3,-3,-1,-2,-2,3,1,39
男,18~25,偏瘦的,广告,-1,1,2,3,-3,-3,-1,3,-1,3,3,39
男,18~25,均匀的,学生,1,-2,1,1,1,1,1,1,1,1,1,39
男,18~25,均匀的,学生,-1,-3,1,1,1,2,1,1,1,1,1,39
男,18~25,均匀的,学生,-1,1,2,1,-1,-1,-1,-2,-2,-1,-2,39
男,18~25,均匀的,学生,1,1,2,1,2,1,-1,-2,1,-2,-3,39
男,18岁以下,偏瘦的,本科在校学生,1,-3,1,1,-1,2,1,1,1,-1,-1,39
男,26~30,偏胖的,学生,-1,3,-1,3,1,1,3,-1,-1,2,2,39
男,26~30,均匀的,颜色科学,3,-1,2,3,3,3,3,3,-3,3,3,39
男,26~30,偏胖的,(空),1,-1,3,2,2,2,1,1,-1,-1,-2,39
男,26~30,偏瘦的,design master,3,-1,-3,3,-3,-3,-1,-1,-1,3,2,39
男,31~40,偏胖的,工业设计,2,3,2,3,2,2,2,-1,-3,3,3,39
男,31~40,偏胖的,教師,-2,-2,-1,-1,-2,-2,-2,-1,-1,-2,-2,39
男,31~40,偏胖的,(空),3,-3,1,3,3,-3,3,3,3,3,3,39
男,31~40,偏胖的,design phd,1,-1,-1,2,1,1,-1,-1,-1,1,1,39
男,31~40,偏胖的,(空),2,1,1,2,2,-2,1,-2,1,3,2,39
男,41~50,均匀的,教师,-1,-2,-2,1,-2,-2,-1,1,2,3,1,39
女,18~25,偏胖的,行銷企劃,-2,-3,-2,-3,1,-2,1,3,1,3,3,40
女,18~25,偏胖的,設計師,-3,-3,-3,3,2,-1,1,3,-1,3,3,40
女,18~25,偏瘦的,学生,1,-3,-1,-1,-1,1,1,-1,2,-2,-2,40
女,18~25,均匀的,财务会计,-2,-3,1,3,2,-1,1,2,3,2,3,40
女,18~25,均匀的,学生,1,-2,1,1,1,-1,-1,-1,-1,-1,1,40
女,26~30,均匀的,設計,-3,-3,-3,2,-3,-3,-2,3,-1,3,3,40
女,26~30,偏胖的,服装,-3,-3,-3,-3,-3,2,-3,2,-3,2,-3,40
女,26~30,均匀的,教师,-2,-2,1,-2,2,2,-1,-1,1,-2,2,40
女,26~30,均匀的,医师,-2,-3,1,-1,-1,-1,-1,-1,1,-1,-1,40
女,26~30,偏胖的,医学,1,-1,1,-1,-1,1,1,1,1,1,1,40
女,26~30,均匀的,服装,-1,-3,3,-2,-2,-2,-3,2,-2,-1,-1,40
女,26~30,均匀的,服装设计,-2,-3,-1,3,-2,-2,-2,2,-1,-1,-2,40
女,26~30,均匀的,纺织研究助理,-3,-3,-2,1,-2,-2,-3,3,1,2,-2,40
女,31~40,偏瘦的,(空),-3,-3,-3,2,1,-2,-3,3,-3,3,-3,40
女,31~40,均匀的,(空),-3,-3,-2,-3,-2,-2,1,3,-1,3,3,40
女,31~40,均匀的,教师,-1,-3,1,1,-1,-1,-1,-1,-1,1,-1,40
女,31~40,偏胖的,教育,-3,3,-2,-2,-1,-3,-3,1,-2,-2,-3,40
男,18~25,均匀的,master of school of architecture,-2,-3,-2,1,3,3,-2,3,-1,3,2,40
男,18~25,偏瘦的,广告,-3,1,-2,3,-2,-3,-3,3,1,3,3,40
男,18~25,均匀的,学生,-1,1,-1,2,1,1,1,1,1,1,1,40
男,18~25,均匀的,学生,-1,-3,2,1,2,1,1,-1,1,-1,-1,40
男,18~25,均匀的,学生,-2,-3,1,-1,-2,-2,-2,-1,-1,-1,-2,40
男,18~25,均匀的,学生,-2,2,1,-2,1,-1,-1,-3,-2,-3,-3,40
男,18岁以下,偏瘦的,本科在校学生,1,-3,1,-1,-1,-1,-1,1,-1,-2,-1,40
男,26~30,偏胖的,学生,-3,3,2,1,-3,-3,2,2,-1,2,2,40
男,26~30,均匀的,颜色科学,-2,-1,-2,-3,-3,-3,-3,2,-2,2,2,40
男,26~30,偏胖的,(空),-1,-3,2,1,2,2,1,1,1,-2,-1,40
男,26~30,偏瘦的,design master,-3,-2,2,1,-2,-3,-1,-1,-3,3,1,40
男,31~40,偏胖的,工业设计,-3,-3,-3,3,-3,-3,-2,3,-3,3,3,40
男,31~40,偏胖的,教師,-2,-2,-2,1,-1,-2,-2,-2,-2,-2,-2,40
男,31~40,偏胖的,(空),-2,1,-3,-2,-2,-2,2,-1,-3,3,3,40
男,31~40,偏胖的,design phd,-2,-3,-2,1,1,-1,-1,-2,-2,-1,-2,40
男,31~40,偏胖的,(空),-3,-3,-1,2,-2,-3,-2,2,-3,2,3,40
男,41~50,均匀的,教师,-2,-3,-2,-1,-3,-2,-2,-2,-2,-1,1,40
